"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 04 13:55:58 MSK 2022","Fri Mar 04 13:56:01 MSK 2022","2419","chromium","VisualComparisonsTests/gettingStart.test.ts","","","","example test",""
"passed","Fri Mar 04 13:55:58 MSK 2022","Fri Mar 04 13:56:00 MSK 2022","1614","chromium","test.ts","","","","SearchSomething",""
